Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:24.80,"urn:cite:hmt:vaimg.VA312VN-0814@0.4733,0.2266,0.3819,0.022"
urn:cts:greekLit:tlg0012.tlg001.msA:24.81,"urn:cite:hmt:vaimg.VA312VN-0814@0.4746,0.2495,0.3819,0.022"
urn:cts:greekLit:tlg0012.tlg001.msA:24.82,"urn:cite:hmt:vaimg.VA312VN-0814@0.476,0.2665,0.3919,0.0271"
urn:cts:greekLit:tlg0012.tlg001.msA:24.83,"urn:cite:hmt:vaimg.VA312VN-0814@0.477,0.2881,0.39,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:24.84,"urn:cite:hmt:vaimg.VA312VN-0814@0.477,0.3048,0.39,0.0222"
urn:cts:greekLit:tlg0012.tlg001.msA:24.85,"urn:cite:hmt:vaimg.VA312VN-0814@0.4687,0.3224,0.3932,0.022"
urn:cts:greekLit:tlg0012.tlg001.msA:24.86,"urn:cite:hmt:vaimg.VA312VN-0814@0.468,0.3422,0.4036,0.022"
urn:cts:greekLit:tlg0012.tlg001.msA:24.87,"urn:cite:hmt:vaimg.VA312VN-0814@0.4675,0.3591,0.3973,0.0236"
urn:cts:greekLit:tlg0012.tlg001.msA:24.88,"urn:cite:hmt:vaimg.VA312VN-0814@0.4682,0.3789,0.4051,0.0236"
urn:cts:greekLit:tlg0012.tlg001.msA:24.89,"urn:cite:hmt:vaimg.VA312VN-0814@0.4655,0.3966,0.4171,0.0288"
urn:cts:greekLit:tlg0012.tlg001.msA:24.90,"urn:cite:hmt:vaimg.VA312VN-0814@0.4645,0.4159,0.4185,0.0231"
urn:cts:greekLit:tlg0012.tlg001.msA:24.91,"urn:cite:hmt:vaimg.VA312VN-0814@0.4645,0.4318,0.4185,0.0266"
urn:cts:greekLit:tlg0012.tlg001.msA:24.92,"urn:cite:hmt:vaimg.VA312VN-0814@0.4755,0.4533,0.409,0.0238"
urn:cts:greekLit:tlg0012.tlg001.msA:24.93,"urn:cite:hmt:vaimg.VA312VN-0814@0.4658,0.4727,0.4183,0.0269"
urn:cts:greekLit:tlg0012.tlg001.msA:24.94,"urn:cite:hmt:vaimg.VA312VN-0814@0.4807,0.491,0.3929,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:24.95,"urn:cite:hmt:vaimg.VA312VN-0814@0.4733,0.5123,0.4012,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:24.96,"urn:cite:hmt:vaimg.VA312VN-0814@0.4704,0.5317,0.4073,0.0262"
urn:cts:greekLit:tlg0012.tlg001.msA:24.97,"urn:cite:hmt:vaimg.VA312VN-0814@0.4748,0.5511,0.408,0.0224"
urn:cts:greekLit:tlg0012.tlg001.msA:24.98,"urn:cite:hmt:vaimg.VA312VN-0814@0.4743,0.5687,0.4171,0.0236"
urn:cts:greekLit:tlg0012.tlg001.msA:24.99,"urn:cite:hmt:vaimg.VA312VN-0814@0.477,0.5878,0.3919,0.0236"
urn:cts:greekLit:tlg0012.tlg001.msA:24.100,"urn:cite:hmt:vaimg.VA312VN-0814@0.4748,0.6072,0.4073,0.0253"
urn:cts:greekLit:tlg0012.tlg001.msA:24.101,"urn:cite:hmt:vaimg.VA312VN-0814@0.4716,0.625,0.3853,0.0242"
urn:cts:greekLit:tlg0012.tlg001.msA:24.102,"urn:cite:hmt:vaimg.VA312VN-0814@0.4709,0.644,0.3966,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:24.103,"urn:cite:hmt:vaimg.VA312VN-0814@0.4609,0.6635,0.4215,0.0231"
urn:cts:greekLit:tlg0012.tlg001.msA:24.104,"urn:cite:hmt:vaimg.VA312VN-0814@0.4672,0.682,0.4022,0.0231"
